key,value
stem_mb_per_image,3.211264
layer1_mb_per_image,0.802816
layer4_mb_per_image,0.100352
inplace_frac_negative_naive,0.0
inplace_frac_negative_cloned,0.6312679648399353
inplace_max_diff,3.788813829421997
relu_fired,2
relu_call1_mean,0.1264844536781311
relu_call2_mean,0.5616568326950073
hook_fires_on_call,1
hook_fires_on_forward,0
graph_nodes_naive,64
graph_nodes_detached,0
activation_mb_per_forward,65.472
feature_mb,0.802816
gradnorm_layer4,0.03557531535625458
gradnorm_layer3,0.7922490239143372
gradnorm_layer2,0.44348955154418945
gradnorm_layer1,0.29665520787239075
gradnorm_maxpool,0.7089158296585083
gradnorm_noresidual_layer4,0.05249316245317459
gradnorm_noresidual_layer3,3.3420679569244385
gradnorm_noresidual_layer2,1.3842377662658691
gradnorm_noresidual_layer1,0.5310500264167786
gradnorm_noresidual_maxpool,1.0072304010391235
probe_relu,0.6783333420753479
probe_relu_std,0.0638139531311261
probe_layer1,0.7666666507720947
probe_layer1_std,0.01545601608580654
probe_layer2,0.9550000031789144
probe_layer2_std,0.010801251788076898
probe_layer3,0.9400000174840292
probe_layer3_std,0.02121321130300815
probe_layer4,0.749999980131785
probe_layer4_std,0.02483277836335298
probe_fc,0.8483333190282186
probe_fc_std,0.011785129878515196
