key,value
bitexact_worst,1.2386590242385864e-06
adamw_vs_adam_no_wd,0.0
bias_first_step_ratio,3.1622768833967307
bias_step20_ratio,6.240928649902344
bc_final_loss,0.0026392429135739803
nobc_final_loss,8.140486170304939e-05
sgd_scale1,0.04088554158806801
sgd_scale100,3.97167430492118e-06
adam_scale1,0.0026392429135739803
adam_scale100,0.002639217674732208
decay_spread_Adam__L2,234.5737762451172
decay_spread_AdamW,1.0
eps_1e-16_final_loss,0.0026392170693725348
eps_1e-08_final_loss,0.0026392429135739803
eps_0.0001_final_loss,0.0028817583806812763
eps_0.01_final_loss,0.03251155465841293
eps_1_final_loss,0.7142568826675415
state_multiplier,2.0
