key,value
baseline_weight_diff,0.0
baseline_curves_identical,True
missing_everything_seeded,0.0
missing_no_torch_seed,1.058711290359497
missing_no_numpy_seed,0.04603114724159241
missing_no_python_random_seed,0.0
missing_no_DataLoader_generator,0.0725461021065712
workers_0_reproducible,True
workers_4_reproducible,True
workers_0_vs_4_overlap,0
classic_numpy_worker_bug_present,False
thread_sum_distinct,3
thread_train_weight_diff,1.1920928955078125e-07
thread_train_first_diff_step,5
det_flag_raised_on_cpu,0
resume_0_diff,0.05127276852726936
resume_1_diff,0.0
resume_2_diff,0.053713634610176086
time_1_thread,0.20782231198973022
time_8_threads,0.352206142997602
time_1_thread_+_deterministic_flag,0.18887963800807483
